Web Search interest: cdec
Worldwide Sep-Oct 2015

Interest over time
Day,cdec
2015-09-01,0
2015-09-02,0
2015-09-03,38
2015-09-04,0
2015-09-05,0
2015-09-06,0
2015-09-07,0
2015-09-08,0
2015-09-09,40
2015-09-10,0
2015-09-11,0
2015-09-12,0
2015-09-13,0
2015-09-14,0
2015-09-15,0
2015-09-16,32
2015-09-17,34
2015-09-18,35
2015-09-19,37
2015-09-20,38
2015-09-21,37
2015-09-22,42
2015-09-23,35
2015-09-24,0
2015-09-25,0
2015-09-26,0
2015-09-27,0
2015-09-28,0
2015-09-29,37
2015-09-30,41
2015-10-01,46
2015-10-02,51
2015-10-03,56
2015-10-04,77
2015-10-05,0
2015-10-06,0
2015-10-07,0
2015-10-08,0
2015-10-09,0
2015-10-10,0
2015-10-11,0
2015-10-12,38
2015-10-13,34
2015-10-14,34
2015-10-15,34
2015-10-16,59
2015-10-17,100
2015-10-18,80
2015-10-19,38
2015-10-20,40
2015-10-21,42
2015-10-22,44
2015-10-23,46
2015-10-24,42
2015-10-25,42
2015-10-26,67
2015-10-27,49
2015-10-28,53
2015-10-29,58
2015-10-30,0
2015-10-31,0



Top searches for cdec
cdec dota 2,100






