Web Search interest: cdec
Worldwide Nov-Dec 2014

Interest over time
Week,cdec
2014-11-02 - 2014-11-08,58
2014-11-09 - 2014-11-15,56
2014-11-16 - 2014-11-22,46
2014-11-23 - 2014-11-29,33
2014-11-30 - 2014-12-06,40
2014-12-07 - 2014-12-13,100
2014-12-14 - 2014-12-20,47
2014-12-21 - 2014-12-27,25
2014-12-28 - 2015-01-03,21






Rising searches for cdec
cdec dota 2,+40%



