Web Search interest: cs overwatch
Worldwide Jul-Aug 2015

Interest over time
Day,cs overwatch
2015-07-01,78
2015-07-02,85
2015-07-03,67
2015-07-04,67
2015-07-05,100
2015-07-06,75
2015-07-07,72
2015-07-08,72
2015-07-09,93
2015-07-10,63
2015-07-11,63
2015-07-12,63
2015-07-13,56
2015-07-14,57
2015-07-15,57
2015-07-16,57
2015-07-17,79
2015-07-18,73
2015-07-19,68
2015-07-20,56
2015-07-21,56
2015-07-22,56
2015-07-23,56
2015-07-24,56
2015-07-25,63
2015-07-26,70
2015-07-27,79
2015-07-28,53
2015-07-29,65
2015-07-30,62
2015-07-31,63
2015-08-01,64
2015-08-02,64
2015-08-03,65
2015-08-04,65
2015-08-05,70
2015-08-06,56
2015-08-07,69
2015-08-08,78
2015-08-09,89
2015-08-10,70
2015-08-11,56
2015-08-12,77
2015-08-13,63
2015-08-14,77
2015-08-15,89
2015-08-16,72
2015-08-17,72
2015-08-18,62
2015-08-19,53
2015-08-20,54
2015-08-21,55
2015-08-22,57
2015-08-23,59
2015-08-24,61
2015-08-25,64
2015-08-26,64
2015-08-27,65
2015-08-28,54
2015-08-29,69
2015-08-30,84
2015-08-31,58









