Web Search interest: smite wiki
Worldwide Jul-Aug 2014

Interest over time
Week,smite wiki
2014-07-06 - 2014-07-12,90
2014-07-13 - 2014-07-19,100
2014-07-20 - 2014-07-26,90
2014-07-27 - 2014-08-02,98
2014-08-03 - 2014-08-09,97
2014-08-10 - 2014-08-16,100
2014-08-17 - 2014-08-23,89
2014-08-24 - 2014-08-30,78
2014-08-31 - 2014-09-06,80









