Web Search interest: smite wiki
Worldwide May-Jun 2015

Interest over time
Week,smite wiki
2015-05-03 - 2015-05-09,70
2015-05-10 - 2015-05-16,100
2015-05-17 - 2015-05-23,98
2015-05-24 - 2015-05-30,75
2015-05-31 - 2015-06-06,85
2015-06-07 - 2015-06-13,75
2015-06-14 - 2015-06-20,75
2015-06-21 - 2015-06-27,61
2015-06-28 - 2015-07-04,68









