Web Search interest: natus vincere
Worldwide Mar-Apr 2015

Interest over time
Week,natus vincere
2015-03-01 - 2015-03-07,60
2015-03-08 - 2015-03-14,100
2015-03-15 - 2015-03-21,61
2015-03-22 - 2015-03-28,88
2015-03-29 - 2015-04-04,67
2015-04-05 - 2015-04-11,96
2015-04-12 - 2015-04-18,92
2015-04-19 - 2015-04-25,72
2015-04-26 - 2015-05-02,80









