Thailand,0
New Zealand,82
Australia,123
China,23
Canada,74
Spain,63
Belgium,25
Mexico,44
Uruguay,2
South Korea,1
United States,86
Croatia,14
Chile,53
Norway,161
Estonia,70
Slovenia,150
Malta,144
Georgia,9
Greece,21
The Netherlands,4
Israel,19
Montenegro,220
Paraguay,17
Sweden,55
Colombia,28
Bolivia,195
Austria,49
Finland,93
Philippines,98
France,28
Slovakia,59
Switzerland,133
Romania,32
Ireland,77
United Arab Emirates,99
Russia,8
Moldova,54
Vietnam,158
Peru,19
Brasil,49
Denmark,130
Kosovo,17
Germany,0
San Marino,4
