New Zealand,0
Mexico,53
Uruguay,52
Peru,13
Bolivia,38
Australia,225
Lithuania,17
Ecuador,37
Paraguay,214
United States,33
Spain,14
Canada,78
Sweden,42
Bulgaria,49
Indonesia,37
Turkey,24
Vietnam,70
Poland,63
Luxembourg,243
Ireland,7
Denmark,95
Greece,53
Macedonia,60
Slovenia,11
France,21
Switzerland,3
South Korea,112
Ukraine,11
Austria,117
Belgium,93
Georgia,205
India,8
Croatia,57
Chile,41
Montenegro,144
Philippines,73
Slovakia,24
Thailand,84
Norway,34
Moldova,65
Malta,19
Finland,108
Romania,0
San Marino,17
