Web Search interest: magicka 2 ps4
Worldwide Nov-Dec 2015

Interest over time
Week,magicka 2 ps4
2015-11-01 - 2015-11-07,100
2015-11-08 - 2015-11-14,49
2015-11-15 - 2015-11-21,27
2015-11-22 - 2015-11-28,31
2015-11-29 - 2015-12-05,20
2015-12-06 - 2015-12-12,12
2015-12-13 - 2015-12-19,12
2015-12-20 - 2015-12-26,0









