Web Search interest: smite gods
Worldwide May-Jun 2014

Interest over time
Day,smite gods
2014-05-01,0
2014-05-02,0
2014-05-03,61
2014-05-04,61
2014-05-05,57
2014-05-06,48
2014-05-07,47
2014-05-08,45
2014-05-09,50
2014-05-10,59
2014-05-11,54
2014-05-12,54
2014-05-13,47
2014-05-14,49
2014-05-15,52
2014-05-16,54
2014-05-17,55
2014-05-18,56
2014-05-19,52
2014-05-20,52
2014-05-21,52
2014-05-22,57
2014-05-23,59
2014-05-24,61
2014-05-25,64
2014-05-26,66
2014-05-27,0
2014-05-28,0
2014-05-29,0
2014-05-30,0
2014-05-31,0
2014-06-01,0
2014-06-02,53
2014-06-03,54
2014-06-04,56
2014-06-05,58
2014-06-06,59
2014-06-07,61
2014-06-08,100
2014-06-09,51
2014-06-10,58
2014-06-11,59
2014-06-12,61
2014-06-13,62
2014-06-14,64
2014-06-15,64
2014-06-16,64
2014-06-17,64
2014-06-18,50
2014-06-19,78
2014-06-20,0
2014-06-21,0
2014-06-22,0
2014-06-23,0
2014-06-24,0
2014-06-25,50
2014-06-26,52
2014-06-27,54
2014-06-28,53
2014-06-29,53
2014-06-30,53









