Web Search interest: smite gods
Worldwide Jan-Feb 2014

Interest over time
Week,smite gods
2014-01-05 - 2014-01-11,88
2014-01-12 - 2014-01-18,99
2014-01-19 - 2014-01-25,93
2014-01-26 - 2014-02-01,99
2014-02-02 - 2014-02-08,97
2014-02-09 - 2014-02-15,100
2014-02-16 - 2014-02-22,82
2014-02-23 - 2014-03-01,69









