Web Search interest: smite gods
Worldwide May-Jun 2015

Interest over time
Day,smite gods
2015-05-01,0
2015-05-02,72
2015-05-03,0
2015-05-04,0
2015-05-05,0
2015-05-06,0
2015-05-07,0
2015-05-08,63
2015-05-09,68
2015-05-10,73
2015-05-11,57
2015-05-12,66
2015-05-13,63
2015-05-14,63
2015-05-15,72
2015-05-16,100
2015-05-17,85
2015-05-18,61
2015-05-19,63
2015-05-20,55
2015-05-21,55
2015-05-22,55
2015-05-23,64
2015-05-24,76
2015-05-25,55
2015-05-26,55
2015-05-27,55
2015-05-28,55
2015-05-29,55
2015-05-30,70
2015-05-31,58
2015-06-01,56
2015-06-02,86
2015-06-03,78
2015-06-04,81
2015-06-05,55
2015-06-06,55
2015-06-07,55
2015-06-08,55
2015-06-09,48
2015-06-10,49
2015-06-11,62
2015-06-12,58
2015-06-13,58
2015-06-14,58
2015-06-15,53
2015-06-16,53
2015-06-17,53
2015-06-18,53
2015-06-19,72
2015-06-20,72
2015-06-21,72
2015-06-22,72
2015-06-23,58
2015-06-24,58
2015-06-25,58
2015-06-26,51
2015-06-27,58
2015-06-28,0
2015-06-29,0
2015-06-30,0



Top searches for smite gods
best smite gods,100



Rising searches for smite gods
best smite gods,+50%



