Web Search interest: smite gods
Worldwide Jul-Aug 2014

Interest over time
Day,smite gods
2014-07-01,51
2014-07-02,70
2014-07-03,69
2014-07-04,69
2014-07-05,69
2014-07-06,69
2014-07-07,69
2014-07-08,67
2014-07-09,67
2014-07-10,67
2014-07-11,67
2014-07-12,99
2014-07-13,54
2014-07-14,54
2014-07-15,77
2014-07-16,0
2014-07-17,0
2014-07-18,0
2014-07-19,0
2014-07-20,0
2014-07-21,0
2014-07-22,64
2014-07-23,52
2014-07-24,52
2014-07-25,68
2014-07-26,84
2014-07-27,100
2014-07-28,74
2014-07-29,60
2014-07-30,51
2014-07-31,63
2014-08-01,71
2014-08-02,64
2014-08-03,64
2014-08-04,78
2014-08-05,50
2014-08-06,79
2014-08-07,66
2014-08-08,66
2014-08-09,66
2014-08-10,74
2014-08-11,58
2014-08-12,57
2014-08-13,62
2014-08-14,67
2014-08-15,63
2014-08-16,68
2014-08-17,74
2014-08-18,51
2014-08-19,91
2014-08-20,53
2014-08-21,53
2014-08-22,50
2014-08-23,50
2014-08-24,50
2014-08-25,50
2014-08-26,49
2014-08-27,56
2014-08-28,63
2014-08-29,71
2014-08-30,78
2014-08-31,0









