Web Search interest: smite gods
Worldwide May-Jun 2014

Interest over time
Day,smite gods
2014-05-01,68
2014-05-02,67
2014-05-03,79
2014-05-04,79
2014-05-05,65
2014-05-06,68
2014-05-07,58
2014-05-08,62
2014-05-09,64
2014-05-10,66
2014-05-11,68
2014-05-12,52
2014-05-13,73
2014-05-14,62
2014-05-15,62
2014-05-16,65
2014-05-17,65
2014-05-18,65
2014-05-19,53
2014-05-20,57
2014-05-21,60
2014-05-22,64
2014-05-23,67
2014-05-24,78
2014-05-25,78
2014-05-26,78
2014-05-27,66
2014-05-28,72
2014-05-29,77
2014-05-30,82
2014-05-31,0
2014-06-01,0
2014-06-02,0
2014-06-03,0
2014-06-04,0
2014-06-05,0
2014-06-06,0
2014-06-07,0
2014-06-08,100
2014-06-09,84
2014-06-10,86
2014-06-11,87
2014-06-12,89
2014-06-13,90
2014-06-14,92
2014-06-15,78
2014-06-16,79
2014-06-17,80
2014-06-18,85
2014-06-19,65
2014-06-20,65
2014-06-21,65
2014-06-22,65
2014-06-23,65
2014-06-24,74
2014-06-25,60
2014-06-26,60
2014-06-27,0
2014-06-28,0
2014-06-29,0
2014-06-30,0









