Web Search interest: hon heroes
Worldwide May-Jun 2012

Interest over time
Day,hon heroes
2012-05-01,67
2012-05-02,68
2012-05-03,68
2012-05-04,58
2012-05-05,81
2012-05-06,63
2012-05-07,50
2012-05-08,50
2012-05-09,58
2012-05-10,67
2012-05-11,67
2012-05-12,100
2012-05-13,68
2012-05-14,52
2012-05-15,54
2012-05-16,55
2012-05-17,57
2012-05-18,59
2012-05-19,61
2012-05-20,58
2012-05-21,58
2012-05-22,58
2012-05-23,52
2012-05-24,59
2012-05-25,65
2012-05-26,73
2012-05-27,50
2012-05-28,50
2012-05-29,52
2012-05-30,54
2012-05-31,56
2012-06-01,58
2012-06-02,65
2012-06-03,71
2012-06-04,47
2012-06-05,0
2012-06-06,0
2012-06-07,0
2012-06-08,0
2012-06-09,0
2012-06-10,58
2012-06-11,57
2012-06-12,58
2012-06-13,58
2012-06-14,56
2012-06-15,69
2012-06-16,78
2012-06-17,69
2012-06-18,58
2012-06-19,46
2012-06-20,69
2012-06-21,71
2012-06-22,73
2012-06-23,74
2012-06-24,49
2012-06-25,49
2012-06-26,49
2012-06-27,48
2012-06-28,61
2012-06-29,59
2012-06-30,61



Top searches for hon heroes
heroes of newerth,100






