Web Search interest: heroes of newerth
Worldwide Jan-Feb 2014

Interest over time
Day,heroes of newerth
2014-01-01,90
2014-01-02,78
2014-01-03,87
2014-01-04,90
2014-01-05,92
2014-01-06,79
2014-01-07,68
2014-01-08,70
2014-01-09,67
2014-01-10,54
2014-01-11,89
2014-01-12,76
2014-01-13,63
2014-01-14,63
2014-01-15,72
2014-01-16,68
2014-01-17,64
2014-01-18,91
2014-01-19,91
2014-01-20,75
2014-01-21,64
2014-01-22,66
2014-01-23,64
2014-01-24,69
2014-01-25,100
2014-01-26,93
2014-01-27,56
2014-01-28,70
2014-01-29,61
2014-01-30,71
2014-01-31,66
2014-02-01,89
2014-02-02,91
2014-02-03,61
2014-02-04,67
2014-02-05,62
2014-02-06,59
2014-02-07,74
2014-02-08,70
2014-02-09,62
2014-02-10,49
2014-02-11,67
2014-02-12,78
2014-02-13,41
2014-02-14,70
2014-02-15,73
2014-02-16,76
2014-02-17,60
2014-02-18,53
2014-02-19,63
2014-02-20,76
2014-02-21,67
2014-02-22,98
2014-02-23,66
2014-02-24,65
2014-02-25,66
2014-02-26,64
2014-02-27,71
2014-02-28,58









