Web Search interest: hon heroes
Worldwide Jan-Feb 2011

Interest over time
Day,hon heroes
2011-01-01,0
2011-01-02,0
2011-01-03,0
2011-01-04,63
2011-01-05,47
2011-01-06,79
2011-01-07,72
2011-01-08,72
2011-01-09,72
2011-01-10,51
2011-01-11,52
2011-01-12,54
2011-01-13,53
2011-01-14,53
2011-01-15,67
2011-01-16,72
2011-01-17,47
2011-01-18,50
2011-01-19,53
2011-01-20,57
2011-01-21,55
2011-01-22,0
2011-01-23,0
2011-01-24,0
2011-01-25,0
2011-01-26,0
2011-01-27,51
2011-01-28,50
2011-01-29,53
2011-01-30,55
2011-01-31,44
2011-02-01,44
2011-02-02,45
2011-02-03,45
2011-02-04,53
2011-02-05,60
2011-02-06,59
2011-02-07,42
2011-02-08,46
2011-02-09,50
2011-02-10,55
2011-02-11,62
2011-02-12,69
2011-02-13,76
2011-02-14,48
2011-02-15,48
2011-02-16,46
2011-02-17,45
2011-02-18,45
2011-02-19,100
2011-02-20,55
2011-02-21,55
2011-02-22,55
2011-02-23,64
2011-02-24,46
2011-02-25,51
2011-02-26,56
2011-02-27,59
2011-02-28,0



Top searches for hon heroes
heroes of newerth,100






