Web Search interest: hon heroes
Worldwide Sep-Oct 2009

Interest over time
Day,hon heroes
2009-09-01,79
2009-09-02,65
2009-09-03,55
2009-09-04,89
2009-09-05,79
2009-09-06,69
2009-09-07,58
2009-09-08,61
2009-09-09,52
2009-09-10,48
2009-09-11,53
2009-09-12,90
2009-09-13,90
2009-09-14,57
2009-09-15,48
2009-09-16,68
2009-09-17,63
2009-09-18,66
2009-09-19,100
2009-09-20,81
2009-09-21,62
2009-09-22,58
2009-09-23,56
2009-09-24,50
2009-09-25,54
2009-09-26,66
2009-09-27,59
2009-09-28,51
2009-09-29,56
2009-09-30,49
2009-10-01,55
2009-10-02,55
2009-10-03,86
2009-10-04,58
2009-10-05,46
2009-10-06,53
2009-10-07,45
2009-10-08,55
2009-10-09,46
2009-10-10,81
2009-10-11,61
2009-10-12,54
2009-10-13,38
2009-10-14,41
2009-10-15,52
2009-10-16,47
2009-10-17,59
2009-10-18,52
2009-10-19,57
2009-10-20,42
2009-10-21,53
2009-10-22,46
2009-10-23,57
2009-10-24,97
2009-10-25,76
2009-10-26,50
2009-10-27,52
2009-10-28,47
2009-10-29,44
2009-10-30,50
2009-10-31,72



Top searches for hon heroes
heroes of newerth,100
hon beta,25
download hon,15
hon beta key,15
hon dota,10






