Web Search interest: hon heroes
Worldwide Mar-Apr 2012

Interest over time
Day,hon heroes
2012-03-01,0
2012-03-02,64
2012-03-03,83
2012-03-04,100
2012-03-05,57
2012-03-06,49
2012-03-07,51
2012-03-08,61
2012-03-09,79
2012-03-10,62
2012-03-11,56
2012-03-12,56
2012-03-13,62
2012-03-14,69
2012-03-15,50
2012-03-16,65
2012-03-17,80
2012-03-18,82
2012-03-19,53
2012-03-20,60
2012-03-21,46
2012-03-22,50
2012-03-23,58
2012-03-24,85
2012-03-25,57
2012-03-26,61
2012-03-27,65
2012-03-28,70
2012-03-29,74
2012-03-30,79
2012-03-31,69
2012-04-01,74
2012-04-02,64
2012-04-03,52
2012-04-04,54
2012-04-05,60
2012-04-06,70
2012-04-07,72
2012-04-08,74
2012-04-09,58
2012-04-10,54
2012-04-11,56
2012-04-12,80
2012-04-13,75
2012-04-14,55
2012-04-15,72
2012-04-16,61
2012-04-17,61
2012-04-18,69
2012-04-19,51
2012-04-20,59
2012-04-21,55
2012-04-22,53
2012-04-23,53
2012-04-24,53
2012-04-25,53
2012-04-26,60
2012-04-27,68
2012-04-28,65
2012-04-29,65
2012-04-30,0



Top searches for hon heroes
heroes of newerth,100
hon dota heroes,20






