Web Search interest: heroes of newerth
Worldwide Jul-Aug 2015

Interest over time
Day,heroes of newerth
2015-07-01,43
2015-07-02,41
2015-07-03,33
2015-07-04,45
2015-07-05,45
2015-07-06,40
2015-07-07,34
2015-07-08,32
2015-07-09,35
2015-07-10,33
2015-07-11,41
2015-07-12,47
2015-07-13,38
2015-07-14,100
2015-07-15,41
2015-07-16,33
2015-07-17,36
2015-07-18,47
2015-07-19,66
2015-07-20,33
2015-07-21,32
2015-07-22,37
2015-07-23,41
2015-07-24,37
2015-07-25,38
2015-07-26,44
2015-07-27,33
2015-07-28,56
2015-07-29,45
2015-07-30,49
2015-07-31,50
2015-08-01,54
2015-08-02,49
2015-08-03,41
2015-08-04,43
2015-08-05,46
2015-08-06,42
2015-08-07,39
2015-08-08,48
2015-08-09,55
2015-08-10,47
2015-08-11,37
2015-08-12,37
2015-08-13,48
2015-08-14,45
2015-08-15,45
2015-08-16,37
2015-08-17,40
2015-08-18,36
2015-08-19,34
2015-08-20,36
2015-08-21,38
2015-08-22,53
2015-08-23,58
2015-08-24,41
2015-08-25,38
2015-08-26,45
2015-08-27,48
2015-08-28,39
2015-08-29,51
2015-08-30,31
2015-08-31,31









