Web Search interest: hon heroes
Worldwide Jan-Feb 2013

Interest over time
Day,hon heroes
2013-01-01,0
2013-01-02,0
2013-01-03,54
2013-01-04,51
2013-01-05,65
2013-01-06,48
2013-01-07,48
2013-01-08,48
2013-01-09,48
2013-01-10,41
2013-01-11,41
2013-01-12,55
2013-01-13,45
2013-01-14,45
2013-01-15,45
2013-01-16,39
2013-01-17,39
2013-01-18,48
2013-01-19,58
2013-01-20,67
2013-01-21,56
2013-01-22,51
2013-01-23,44
2013-01-24,47
2013-01-25,50
2013-01-26,46
2013-01-27,50
2013-01-28,53
2013-01-29,59
2013-01-30,51
2013-01-31,100
2013-02-01,78
2013-02-02,65
2013-02-03,56
2013-02-04,44
2013-02-05,43
2013-02-06,43
2013-02-07,43
2013-02-08,40
2013-02-09,0
2013-02-10,0
2013-02-11,0
2013-02-12,0
2013-02-13,0
2013-02-14,46
2013-02-15,47
2013-02-16,52
2013-02-17,45
2013-02-18,44
2013-02-19,44
2013-02-20,47
2013-02-21,50
2013-02-22,52
2013-02-23,55
2013-02-24,41
2013-02-25,41
2013-02-26,0
2013-02-27,0
2013-02-28,0



Top searches for hon heroes
heroes of newerth,100






