Web Search interest: hon heroes
Worldwide Jul-Aug 2011

Interest over time
Day,hon heroes
2011-07-01,27
2011-07-02,32
2011-07-03,34
2011-07-04,27
2011-07-05,27
2011-07-06,34
2011-07-07,41
2011-07-08,41
2011-07-09,42
2011-07-10,31
2011-07-11,31
2011-07-12,24
2011-07-13,28
2011-07-14,25
2011-07-15,33
2011-07-16,41
2011-07-17,30
2011-07-18,30
2011-07-19,44
2011-07-20,35
2011-07-21,27
2011-07-22,32
2011-07-23,31
2011-07-24,29
2011-07-25,25
2011-07-26,37
2011-07-27,32
2011-07-28,66
2011-07-29,100
2011-07-30,94
2011-07-31,69
2011-08-01,58
2011-08-02,66
2011-08-03,63
2011-08-04,36
2011-08-05,57
2011-08-06,54
2011-08-07,53
2011-08-08,43
2011-08-09,47
2011-08-10,35
2011-08-11,39
2011-08-12,47
2011-08-13,44
2011-08-14,51
2011-08-15,44
2011-08-16,41
2011-08-17,55
2011-08-18,55
2011-08-19,55
2011-08-20,51
2011-08-21,45
2011-08-22,45
2011-08-23,36
2011-08-24,40
2011-08-25,41
2011-08-26,49
2011-08-27,38
2011-08-28,47
2011-08-29,32
2011-08-30,38
2011-08-31,35



Top searches for hon heroes
heroes of newerth,100
hon dota heroes,20



Rising searches for hon heroes
hon dota heroes,+70%
hon garena,+50%



