Web Search interest: hon heroes
Worldwide Jul-Aug 2012

Interest over time
Day,hon heroes
2012-07-01,82
2012-07-02,76
2012-07-03,76
2012-07-04,74
2012-07-05,74
2012-07-06,84
2012-07-07,100
2012-07-08,77
2012-07-09,71
2012-07-10,71
2012-07-11,71
2012-07-12,70
2012-07-13,70
2012-07-14,62
2012-07-15,62
2012-07-16,62
2012-07-17,57
2012-07-18,64
2012-07-19,70
2012-07-20,77
2012-07-21,84
2012-07-22,67
2012-07-23,67
2012-07-24,70
2012-07-25,72
2012-07-26,60
2012-07-27,69
2012-07-28,78
2012-07-29,88
2012-07-30,83
2012-07-31,83
2012-08-01,83
2012-08-02,83
2012-08-03,83
2012-08-04,77
2012-08-05,77
2012-08-06,85
2012-08-07,77
2012-08-08,77
2012-08-09,77
2012-08-10,77
2012-08-11,77
2012-08-12,58
2012-08-13,58
2012-08-14,64
2012-08-15,71
2012-08-16,77
2012-08-17,84
2012-08-18,0
2012-08-19,0
2012-08-20,0
2012-08-21,0
2012-08-22,0
2012-08-23,0
2012-08-24,61
2012-08-25,67
2012-08-26,74
2012-08-27,76
2012-08-28,77
2012-08-29,78
2012-08-30,79
2012-08-31,88



Top searches for hon heroes
heroes of newerth,100






