Web Search interest: hon heroes
Worldwide May-Jun 2013

Interest over time
Week,hon heroes
2013-05-05 - 2013-05-11,94
2013-05-12 - 2013-05-18,98
2013-05-19 - 2013-05-25,99
2013-05-26 - 2013-06-01,89
2013-06-02 - 2013-06-08,89
2013-06-09 - 2013-06-15,100
2013-06-16 - 2013-06-22,93
2013-06-23 - 2013-06-29,98
2013-06-30 - 2013-07-06,94



Top searches for hon heroes
heroes of newerth,100






