Web Search interest: heroes of newerth
Worldwide Mar-Apr 2015

Interest over time
Day,heroes of newerth
2015-03-01,58
2015-03-02,56
2015-03-03,46
2015-03-04,44
2015-03-05,49
2015-03-06,47
2015-03-07,75
2015-03-08,60
2015-03-09,50
2015-03-10,64
2015-03-11,56
2015-03-12,63
2015-03-13,46
2015-03-14,50
2015-03-15,64
2015-03-16,50
2015-03-17,43
2015-03-18,48
2015-03-19,48
2015-03-20,39
2015-03-21,68
2015-03-22,58
2015-03-23,50
2015-03-24,49
2015-03-25,56
2015-03-26,69
2015-03-27,48
2015-03-28,60
2015-03-29,100
2015-03-30,56
2015-03-31,68
2015-04-01,61
2015-04-02,53
2015-04-03,59
2015-04-04,62
2015-04-05,52
2015-04-06,37
2015-04-07,66
2015-04-08,47
2015-04-09,57
2015-04-10,50
2015-04-11,48
2015-04-12,46
2015-04-13,48
2015-04-14,33
2015-04-15,33
2015-04-16,43
2015-04-17,53
2015-04-18,51
2015-04-19,59
2015-04-20,44
2015-04-21,43
2015-04-22,40
2015-04-23,49
2015-04-24,54
2015-04-25,48
2015-04-26,67
2015-04-27,58
2015-04-28,49
2015-04-29,54
2015-04-30,54









