Web Search interest: heroes of newerth
Worldwide May-Jun 2014

Interest over time
Day,heroes of newerth
2014-05-01,55
2014-05-02,50
2014-05-03,56
2014-05-04,77
2014-05-05,53
2014-05-06,50
2014-05-07,76
2014-05-08,62
2014-05-09,55
2014-05-10,58
2014-05-11,70
2014-05-12,47
2014-05-13,64
2014-05-14,70
2014-05-15,50
2014-05-16,57
2014-05-17,70
2014-05-18,48
2014-05-19,50
2014-05-20,53
2014-05-21,65
2014-05-22,57
2014-05-23,64
2014-05-24,55
2014-05-25,47
2014-05-26,54
2014-05-27,85
2014-05-28,75
2014-05-29,56
2014-05-30,75
2014-05-31,79
2014-06-01,81
2014-06-02,56
2014-06-03,66
2014-06-04,54
2014-06-05,59
2014-06-06,66
2014-06-07,81
2014-06-08,73
2014-06-09,49
2014-06-10,59
2014-06-11,66
2014-06-12,64
2014-06-13,57
2014-06-14,96
2014-06-15,77
2014-06-16,61
2014-06-17,61
2014-06-18,60
2014-06-19,55
2014-06-20,65
2014-06-21,88
2014-06-22,65
2014-06-23,49
2014-06-24,50
2014-06-25,56
2014-06-26,48
2014-06-27,52
2014-06-28,100
2014-06-29,92
2014-06-30,51









