Web Search interest: hon heroes
Worldwide Jul-Aug 2009

Interest over time
Day,hon heroes
2009-07-01,0
2009-07-02,0
2009-07-03,0
2009-07-04,0
2009-07-05,0
2009-07-06,0
2009-07-07,0
2009-07-08,0
2009-07-09,0
2009-07-10,0
2009-07-11,0
2009-07-12,0
2009-07-13,0
2009-07-14,0
2009-07-15,0
2009-07-16,0
2009-07-17,0
2009-07-18,0
2009-07-19,0
2009-07-20,0
2009-07-21,0
2009-07-22,0
2009-07-23,41
2009-07-24,49
2009-07-25,57
2009-07-26,65
2009-07-27,51
2009-07-28,39
2009-07-29,53
2009-07-30,51
2009-07-31,63
2009-08-01,75
2009-08-02,61
2009-08-03,61
2009-08-04,52
2009-08-05,53
2009-08-06,51
2009-08-07,54
2009-08-08,86
2009-08-09,80
2009-08-10,63
2009-08-11,68
2009-08-12,60
2009-08-13,73
2009-08-14,79
2009-08-15,100
2009-08-16,94
2009-08-17,65
2009-08-18,62
2009-08-19,68
2009-08-20,53
2009-08-21,50
2009-08-22,76
2009-08-23,89
2009-08-24,60
2009-08-25,68
2009-08-26,41
2009-08-27,73
2009-08-28,66
2009-08-29,82
2009-08-30,87
2009-08-31,64



Top searches for hon heroes
heroes of newerth,100
hon beta,25
hon download,15
hon dota,15



Rising searches for hon heroes
heroes of newerth,Breakout
hon beta,Breakout
hon dota,Breakout
hon download,Breakout



