Web Search interest: hon heroes
Worldwide May-Jun 2010

Interest over time
Day,hon heroes
2010-05-01,55
2010-05-02,52
2010-05-03,43
2010-05-04,42
2010-05-05,43
2010-05-06,29
2010-05-07,28
2010-05-08,47
2010-05-09,39
2010-05-10,89
2010-05-11,39
2010-05-12,76
2010-05-13,100
2010-05-14,57
2010-05-15,59
2010-05-16,47
2010-05-17,34
2010-05-18,35
2010-05-19,33
2010-05-20,47
2010-05-21,27
2010-05-22,37
2010-05-23,28
2010-05-24,28
2010-05-25,31
2010-05-26,32
2010-05-27,28
2010-05-28,28
2010-05-29,34
2010-05-30,41
2010-05-31,28
2010-06-01,42
2010-06-02,43
2010-06-03,43
2010-06-04,44
2010-06-05,45
2010-06-06,46
2010-06-07,26
2010-06-08,28
2010-06-09,27
2010-06-10,27
2010-06-11,29
2010-06-12,37
2010-06-13,39
2010-06-14,40
2010-06-15,26
2010-06-16,26
2010-06-17,32
2010-06-18,38
2010-06-19,44
2010-06-20,27
2010-06-21,27
2010-06-22,37
2010-06-23,36
2010-06-24,36
2010-06-25,36
2010-06-26,32
2010-06-27,32
2010-06-28,32
2010-06-29,32
2010-06-30,30



Top searches for hon heroes
heroes of newerth,100






