Web Search interest: heroes of newerth
Worldwide Sep-Oct 2015

Interest over time
Day,heroes of newerth
2015-09-01,0
2015-09-02,60
2015-09-03,55
2015-09-04,98
2015-09-05,77
2015-09-06,77
2015-09-07,83
2015-09-08,53
2015-09-09,63
2015-09-10,51
2015-09-11,72
2015-09-12,89
2015-09-13,86
2015-09-14,66
2015-09-15,57
2015-09-16,59
2015-09-17,60
2015-09-18,72
2015-09-19,68
2015-09-20,75
2015-09-21,70
2015-09-22,82
2015-09-23,100
2015-09-24,71
2015-09-25,81
2015-09-26,66
2015-09-27,66
2015-09-28,65
2015-09-29,56
2015-09-30,49
2015-10-01,52
2015-10-02,71
2015-10-03,75
2015-10-04,76
2015-10-05,61
2015-10-06,63
2015-10-07,66
2015-10-08,97
2015-10-09,56
2015-10-10,82
2015-10-11,68
2015-10-12,55
2015-10-13,55
2015-10-14,71
2015-10-15,60
2015-10-16,51
2015-10-17,66
2015-10-18,60
2015-10-19,60
2015-10-20,73
2015-10-21,56
2015-10-22,50
2015-10-23,66
2015-10-24,53
2015-10-25,56
2015-10-26,70
2015-10-27,71
2015-10-28,72
2015-10-29,59
2015-10-30,55
2015-10-31,73









