Web Search interest: hon heroes
Worldwide Sep-Oct 2012

Interest over time
Day,hon heroes
2012-09-01,0
2012-09-02,100
2012-09-03,65
2012-09-04,67
2012-09-05,73
2012-09-06,79
2012-09-07,86
2012-09-08,92
2012-09-09,98
2012-09-10,78
2012-09-11,78
2012-09-12,78
2012-09-13,70
2012-09-14,61
2012-09-15,61
2012-09-16,61
2012-09-17,61
2012-09-18,0
2012-09-19,0
2012-09-20,0
2012-09-21,0
2012-09-22,0
2012-09-23,88
2012-09-24,56
2012-09-25,56
2012-09-26,0
2012-09-27,0
2012-09-28,0
2012-09-29,0
2012-09-30,0
2012-10-01,69
2012-10-02,98
2012-10-03,72
2012-10-04,71
2012-10-05,58
2012-10-06,82
2012-10-07,80
2012-10-08,72
2012-10-09,63
2012-10-10,63
2012-10-11,65
2012-10-12,67
2012-10-13,71
2012-10-14,75
2012-10-15,86
2012-10-16,54
2012-10-17,56
2012-10-18,59
2012-10-19,67
2012-10-20,71
2012-10-21,54
2012-10-22,54
2012-10-23,70
2012-10-24,55
2012-10-25,68
2012-10-26,81
2012-10-27,86
2012-10-28,56
2012-10-29,56
2012-10-30,57
2012-10-31,0



Top searches for hon heroes
heroes of newerth,100






