Web Search interest: hon heroes
Worldwide May-Jun 2014

Interest over time
Week,hon heroes
2014-05-04 - 2014-05-10,66
2014-05-11 - 2014-05-17,75
2014-05-18 - 2014-05-24,78
2014-05-25 - 2014-05-31,93
2014-06-01 - 2014-06-07,83
2014-06-08 - 2014-06-14,79
2014-06-15 - 2014-06-21,91
2014-06-22 - 2014-06-28,59
2014-06-29 - 2014-07-05,100



Top searches for hon heroes
heroes of newerth,100






