Web Search interest: hon heroes
Worldwide Mar-Apr 2010

Interest over time
Day,hon heroes
2010-03-01,20
2010-03-02,21
2010-03-03,20
2010-03-04,15
2010-03-05,24
2010-03-06,24
2010-03-07,23
2010-03-08,20
2010-03-09,20
2010-03-10,16
2010-03-11,15
2010-03-12,19
2010-03-13,28
2010-03-14,27
2010-03-15,18
2010-03-16,18
2010-03-17,19
2010-03-18,21
2010-03-19,25
2010-03-20,35
2010-03-21,25
2010-03-22,20
2010-03-23,20
2010-03-24,19
2010-03-25,79
2010-03-26,60
2010-03-27,46
2010-03-28,38
2010-03-29,36
2010-03-30,26
2010-03-31,29
2010-04-01,31
2010-04-02,32
2010-04-03,33
2010-04-04,32
2010-04-05,25
2010-04-06,26
2010-04-07,28
2010-04-08,29
2010-04-09,25
2010-04-10,100
2010-04-11,39
2010-04-12,28
2010-04-13,21
2010-04-14,26
2010-04-15,23
2010-04-16,26
2010-04-17,27
2010-04-18,23
2010-04-19,20
2010-04-20,18
2010-04-21,25
2010-04-22,21
2010-04-23,17
2010-04-24,27
2010-04-25,27
2010-04-26,22
2010-04-27,22
2010-04-28,45
2010-04-29,18
2010-04-30,23



Top searches for hon heroes
heroes of newerth,100
hon download,20
hon beta,15
hon beta key,10
hon new heroes,10



Rising searches for hon heroes
hon new heroes,+100%



