Web Search interest: hon heroes
Worldwide Jul-Aug 2010

Interest over time
Day,hon heroes
2010-07-01,68
2010-07-02,60
2010-07-03,71
2010-07-04,98
2010-07-05,82
2010-07-06,82
2010-07-07,54
2010-07-08,54
2010-07-09,54
2010-07-10,46
2010-07-11,46
2010-07-12,46
2010-07-13,78
2010-07-14,54
2010-07-15,65
2010-07-16,77
2010-07-17,88
2010-07-18,100
2010-07-19,0
2010-07-20,0
2010-07-21,0
2010-07-22,0
2010-07-23,0
2010-07-24,0
2010-07-25,66
2010-07-26,49
2010-07-27,49
2010-07-28,50
2010-07-29,46
2010-07-30,46
2010-07-31,46
2010-08-01,46
2010-08-02,46
2010-08-03,64
2010-08-04,67
2010-08-05,69
2010-08-06,70
2010-08-07,70
2010-08-08,70
2010-08-09,45
2010-08-10,67
2010-08-11,61
2010-08-12,47
2010-08-13,61
2010-08-14,75
2010-08-15,53
2010-08-16,53
2010-08-17,53
2010-08-18,46
2010-08-19,46
2010-08-20,57
2010-08-21,69
2010-08-22,81
2010-08-23,47
2010-08-24,48
2010-08-25,49
2010-08-26,51
2010-08-27,52
2010-08-28,71
2010-08-29,0
2010-08-30,0
2010-08-31,0



Top searches for hon heroes
heroes of newerth,100






