Web Search interest: heroes of newerth
Worldwide Mar-Apr 2014

Interest over time
Day,heroes of newerth
2014-03-01,62
2014-03-02,49
2014-03-03,58
2014-03-04,56
2014-03-05,53
2014-03-06,63
2014-03-07,72
2014-03-08,70
2014-03-09,63
2014-03-10,52
2014-03-11,56
2014-03-12,56
2014-03-13,87
2014-03-14,91
2014-03-15,83
2014-03-16,100
2014-03-17,67
2014-03-18,47
2014-03-19,66
2014-03-20,68
2014-03-21,79
2014-03-22,77
2014-03-23,73
2014-03-24,59
2014-03-25,50
2014-03-26,71
2014-03-27,61
2014-03-28,66
2014-03-29,79
2014-03-30,68
2014-03-31,68
2014-04-01,59
2014-04-02,53
2014-04-03,52
2014-04-04,62
2014-04-05,66
2014-04-06,61
2014-04-07,58
2014-04-08,73
2014-04-09,79
2014-04-10,90
2014-04-11,76
2014-04-12,84
2014-04-13,98
2014-04-14,55
2014-04-15,71
2014-04-16,70
2014-04-17,64
2014-04-18,68
2014-04-19,82
2014-04-20,71
2014-04-21,67
2014-04-22,54
2014-04-23,52
2014-04-24,66
2014-04-25,61
2014-04-26,67
2014-04-27,58
2014-04-28,53
2014-04-29,53
2014-04-30,53









