Web Search interest: hon heroes
Worldwide Sep-Oct 2013

Interest over time
Week,hon heroes
2013-09-01 - 2013-09-07,98
2013-09-08 - 2013-09-14,100
2013-09-15 - 2013-09-21,96
2013-09-22 - 2013-09-28,83
2013-09-29 - 2013-10-05,73
2013-10-06 - 2013-10-12,100
2013-10-13 - 2013-10-19,76
2013-10-20 - 2013-10-26,85
2013-10-27 - 2013-11-02,88



Top searches for hon heroes
heroes of newerth,100






