Web Search interest: hon heroes
Worldwide Mar-Apr 2013

Interest over time
Day,hon heroes
2013-03-01,0
2013-03-02,0
2013-03-03,72
2013-03-04,0
2013-03-05,0
2013-03-06,0
2013-03-07,0
2013-03-08,0
2013-03-09,0
2013-03-10,0
2013-03-11,0
2013-03-12,0
2013-03-13,0
2013-03-14,0
2013-03-15,0
2013-03-16,0
2013-03-17,0
2013-03-18,82
2013-03-19,0
2013-03-20,0
2013-03-21,0
2013-03-22,0
2013-03-23,0
2013-03-24,0
2013-03-25,0
2013-03-26,0
2013-03-27,0
2013-03-28,0
2013-03-29,0
2013-03-30,70
2013-03-31,56
2013-04-01,56
2013-04-02,56
2013-04-03,56
2013-04-04,64
2013-04-05,71
2013-04-06,79
2013-04-07,60
2013-04-08,60
2013-04-09,60
2013-04-10,58
2013-04-11,58
2013-04-12,58
2013-04-13,69
2013-04-14,79
2013-04-15,90
2013-04-16,100
2013-04-17,63
2013-04-18,63
2013-04-19,68
2013-04-20,66
2013-04-21,66
2013-04-22,66
2013-04-23,66
2013-04-24,66
2013-04-25,60
2013-04-26,60
2013-04-27,0
2013-04-28,0
2013-04-29,0
2013-04-30,0



Top searches for hon heroes
heroes of newerth,100






