Web Search interest: heroes of newerth
Worldwide Nov-Dec 2015

Interest over time
Day,heroes of newerth
2015-11-01,0
2015-11-02,55
2015-11-03,86
2015-11-04,44
2015-11-05,56
2015-11-06,54
2015-11-07,64
2015-11-08,78
2015-11-09,52
2015-11-10,55
2015-11-11,60
2015-11-12,73
2015-11-13,73
2015-11-14,69
2015-11-15,71
2015-11-16,73
2015-11-17,74
2015-11-18,75
2015-11-19,73
2015-11-20,61
2015-11-21,63
2015-11-22,68
2015-11-23,45
2015-11-24,58
2015-11-25,48
2015-11-26,57
2015-11-27,54
2015-11-28,78
2015-11-29,53
2015-11-30,53
2015-12-01,59
2015-12-02,71
2015-12-03,48
2015-12-04,58
2015-12-05,73
2015-12-06,62
2015-12-07,56
2015-12-08,56
2015-12-09,55
2015-12-10,58
2015-12-11,56
2015-12-12,61
2015-12-13,77
2015-12-14,55
2015-12-15,87
2015-12-16,83
2015-12-17,68
2015-12-18,100
2015-12-19,79
2015-12-20,80
2015-12-21,51
2015-12-22,59
2015-12-23,78
2015-12-24, 
2015-12-25, 









