Web Search interest: league of legends wikipedia
Worldwide Sep-Oct 2015

Interest over time
Week,league of legends wikipedia
2015-09-06 - 2015-09-12,57
2015-09-13 - 2015-09-19,76
2015-09-20 - 2015-09-26,74
2015-09-27 - 2015-10-03,79
2015-10-04 - 2015-10-10,100
2015-10-11 - 2015-10-17,70
2015-10-18 - 2015-10-24,67
2015-10-25 - 2015-10-31,69









