Web Search interest: league of legends wikipedia
Worldwide May-Jun 2014

Interest over time
Week,league of legends wikipedia
2014-05-04 - 2014-05-10,75
2014-05-11 - 2014-05-17,100
2014-05-18 - 2014-05-24,88
2014-05-25 - 2014-05-31,79
2014-06-01 - 2014-06-07,90
2014-06-08 - 2014-06-14,89
2014-06-15 - 2014-06-21,68
2014-06-22 - 2014-06-28,67
2014-06-29 - 2014-07-05,62









