Web Search interest: league of legends wikipedia
Worldwide Jan-Feb 2015

Interest over time
Week,league of legends wikipedia
2015-01-04 - 2015-01-10,66
2015-01-11 - 2015-01-17,90
2015-01-18 - 2015-01-24,85
2015-01-25 - 2015-01-31,93
2015-02-01 - 2015-02-07,100
2015-02-08 - 2015-02-14,91
2015-02-15 - 2015-02-21,90
2015-02-22 - 2015-02-28,81









