Web Search interest: league of legends wikipedia
Worldwide Jul-Aug 2015

Interest over time
Week,league of legends wikipedia
2015-07-05 - 2015-07-11,73
2015-07-12 - 2015-07-18,76
2015-07-19 - 2015-07-25,90
2015-07-26 - 2015-08-01,71
2015-08-02 - 2015-08-08,83
2015-08-09 - 2015-08-15,87
2015-08-16 - 2015-08-22,85
2015-08-23 - 2015-08-29,100
2015-08-30 - 2015-09-05,68









