Web Search interest: league of legends wikipedia
Worldwide Nov-Dec 2014

Interest over time
Week,league of legends wikipedia
2014-11-02 - 2014-11-08,100
2014-11-09 - 2014-11-15,80
2014-11-16 - 2014-11-22,97
2014-11-23 - 2014-11-29,97
2014-11-30 - 2014-12-06,83
2014-12-07 - 2014-12-13,73
2014-12-14 - 2014-12-20,66
2014-12-21 - 2014-12-27,69
2014-12-28 - 2015-01-03,72









