Web Search interest: league of legends wikipedia
Worldwide Mar-Apr 2015

Interest over time
Week,league of legends wikipedia
2015-03-01 - 2015-03-07,98
2015-03-08 - 2015-03-14,91
2015-03-15 - 2015-03-21,100
2015-03-22 - 2015-03-28,78
2015-03-29 - 2015-04-04,87
2015-04-05 - 2015-04-11,73
2015-04-12 - 2015-04-18,64
2015-04-19 - 2015-04-25,82
2015-04-26 - 2015-05-02,76









