Web Search interest: league of legends wikipedia
Worldwide Nov-Dec 2015

Interest over time
Week,league of legends wikipedia
2015-11-01 - 2015-11-07,80
2015-11-08 - 2015-11-14,100
2015-11-15 - 2015-11-21,66
2015-11-22 - 2015-11-28,81
2015-11-29 - 2015-12-05,58
2015-12-06 - 2015-12-12,60
2015-12-13 - 2015-12-19,81
2015-12-20 - 2015-12-26,0









