Web Search interest: league of legends wikipedia
Worldwide Jan-Feb 2014

Interest over time
Week,league of legends wikipedia
2014-01-05 - 2014-01-11,76
2014-01-12 - 2014-01-18,89
2014-01-19 - 2014-01-25,96
2014-01-26 - 2014-02-01,97
2014-02-02 - 2014-02-08,67
2014-02-09 - 2014-02-15,100
2014-02-16 - 2014-02-22,75
2014-02-23 - 2014-03-01,93









