Web Search interest: team secret
Worldwide Sep-Oct 2014

Interest over time
Day,team secret
2014-09-01,38
2014-09-02,26
2014-09-03,51
2014-09-04,26
2014-09-05,34
2014-09-06,30
2014-09-07,43
2014-09-08,20
2014-09-09,25
2014-09-10,24
2014-09-11,30
2014-09-12,26
2014-09-13,35
2014-09-14,43
2014-09-15,45
2014-09-16,37
2014-09-17,27
2014-09-18,35
2014-09-19,27
2014-09-20,25
2014-09-21,25
2014-09-22,25
2014-09-23,54
2014-09-24,39
2014-09-25,44
2014-09-26,46
2014-09-27,37
2014-09-28,32
2014-09-29,21
2014-09-30,25
2014-10-01,21
2014-10-02,49
2014-10-03,86
2014-10-04,53
2014-10-05,36
2014-10-06,27
2014-10-07,55
2014-10-08,45
2014-10-09,73
2014-10-10,86
2014-10-11,38
2014-10-12,29
2014-10-13,31
2014-10-14,30
2014-10-15,26
2014-10-16,39
2014-10-17,100
2014-10-18,56
2014-10-19,40
2014-10-20,43
2014-10-21,33
2014-10-22,33
2014-10-23,56
2014-10-24,80
2014-10-25,74
2014-10-26,97
2014-10-27,51
2014-10-28,34
2014-10-29,33
2014-10-30,26
2014-10-31,35



Top searches for team secret
team secret dota,100
team top secret,20
team tinker,15



Rising searches for team secret
team tinker,Breakout
team secret dota,+90%



