Web Search interest: team secret
Worldwide Jan-Feb 2015

Interest over time
Day,team secret
2015-01-01,27
2015-01-02,100
2015-01-03,59
2015-01-04,49
2015-01-05,34
2015-01-06,42
2015-01-07,41
2015-01-08,36
2015-01-09,35
2015-01-10,32
2015-01-11,33
2015-01-12,29
2015-01-13,24
2015-01-14,21
2015-01-15,25
2015-01-16,23
2015-01-17,23
2015-01-18,21
2015-01-19,25
2015-01-20,18
2015-01-21,24
2015-01-22,23
2015-01-23,24
2015-01-24,25
2015-01-25,16
2015-01-26,16
2015-01-27,21
2015-01-28,30
2015-01-29,53
2015-01-30,64
2015-01-31,67
2015-02-01,81
2015-02-02,81
2015-02-03,46
2015-02-04,38
2015-02-05,65
2015-02-06,64
2015-02-07,62
2015-02-08,74
2015-02-09,39
2015-02-10,25
2015-02-11,20
2015-02-12,18
2015-02-13,18
2015-02-14,22
2015-02-15,23
2015-02-16,21
2015-02-17,13
2015-02-18,12
2015-02-19,20
2015-02-20,18
2015-02-21,18
2015-02-22,23
2015-02-23,15
2015-02-24,14
2015-02-25,19
2015-02-26,13
2015-02-27,21
2015-02-28,18



Top searches for team secret
dota team secret,100
team is secret,15
arteezy,10






