Web Search interest: team secret
Worldwide Jul-Aug 2015

Interest over time
Day,team secret
2015-07-01,11
2015-07-02,9
2015-07-03,11
2015-07-04,13
2015-07-05,13
2015-07-06,11
2015-07-07,12
2015-07-08,11
2015-07-09,8
2015-07-10,11
2015-07-11,11
2015-07-12,10
2015-07-13,11
2015-07-14,11
2015-07-15,9
2015-07-16,12
2015-07-17,12
2015-07-18,13
2015-07-19,12
2015-07-20,11
2015-07-21,11
2015-07-22,16
2015-07-23,17
2015-07-24,16
2015-07-25,15
2015-07-26,24
2015-07-27,44
2015-07-28,48
2015-07-29,46
2015-07-30,28
2015-07-31,24
2015-08-01,24
2015-08-02,23
2015-08-03,26
2015-08-04,58
2015-08-05,61
2015-08-06,88
2015-08-07,100
2015-08-08,32
2015-08-09,39
2015-08-10,21
2015-08-11,26
2015-08-12,22
2015-08-13,15
2015-08-14,15
2015-08-15,70
2015-08-16,37
2015-08-17,21
2015-08-18,20
2015-08-19,17
2015-08-20,13
2015-08-21,22
2015-08-22,45
2015-08-23,34
2015-08-24,17
2015-08-25,19
2015-08-26,17
2015-08-27,16
2015-08-28,18
2015-08-29,17
2015-08-30,16
2015-08-31,9



Top searches for team secret
team secret dota,100
ti5,25
team secret ti5,25
team secret twitter,15
arteezy,15
virtus pro,10



Rising searches for team secret
team secret ti5,Breakout
virtus pro,Breakout
ti5,+250%
arteezy,+50%
team secret twitter,+50%



