Web Search interest: heroes of storm
Worldwide Nov-Dec 2015

Interest over time
Day,heroes of storm
2015-11-01,49
2015-11-02,41
2015-11-03,43
2015-11-04,37
2015-11-05,38
2015-11-06,54
2015-11-07,100
2015-11-08,81
2015-11-09,56
2015-11-10,49
2015-11-11,42
2015-11-12,42
2015-11-13,40
2015-11-14,46
2015-11-15,44
2015-11-16,38
2015-11-17,49
2015-11-18,52
2015-11-19,45
2015-11-20,42
2015-11-21,49
2015-11-22,50
2015-11-23,39
2015-11-24,45
2015-11-25,43
2015-11-26,39
2015-11-27,41
2015-11-28,47
2015-11-29,43
2015-11-30,36
2015-12-01,39
2015-12-02,35
2015-12-03,35
2015-12-04,36
2015-12-05,43
2015-12-06,41
2015-12-07,38
2015-12-08,44
2015-12-09,43
2015-12-10,37
2015-12-11,39
2015-12-12,47
2015-12-13,45
2015-12-14,39
2015-12-15,46
2015-12-16,47
2015-12-17,40
2015-12-18,40
2015-12-19,43
2015-12-20,46
2015-12-21,40
2015-12-22,42
2015-12-23,44
2015-12-24, 
2015-12-25, 


Top regions for heroes of storm
Region,heroes of storm
Canada,100
Germany,79
Poland,74
Spain,68
France,65
Russia,64
United States,64
Brazil,40
United Kingdom,39


Top cities for heroes of storm
City,heroes of storm
Singapore (Singapore),100
Santiago (Chile),71
Moscow (Russia),63
Madrid (Spain),44
Paris (France),39
New York (United States),31
London (United Kingdom),21



Top searches for heroes of storm
hots,100
blizzcon,30
lunara,30
artanis,30
battlenet,15
sylvanas,15
moba,15
blizzcon 2015,10
battle net,10



Rising searches for heroes of storm
lunara,Breakout
blizzcon 2015,+100%
blizzcon,+60%



