Web Search interest: heroes of storm
Worldwide May-Jun 2014

Interest over time
Day,heroes of storm
2014-05-01,91
2014-05-02,76
2014-05-03,88
2014-05-04,84
2014-05-05,63
2014-05-06,73
2014-05-07,63
2014-05-08,88
2014-05-09,87
2014-05-10,100
2014-05-11,85
2014-05-12,69
2014-05-13,63
2014-05-14,62
2014-05-15,73
2014-05-16,69
2014-05-17,80
2014-05-18,76
2014-05-19,69
2014-05-20,71
2014-05-21,62
2014-05-22,70
2014-05-23,81
2014-05-24,94
2014-05-25,92
2014-05-26,78
2014-05-27,82
2014-05-28,68
2014-05-29,67
2014-05-30,84
2014-05-31,95
2014-06-01,77
2014-06-02,72
2014-06-03,75
2014-06-04,84
2014-06-05,82
2014-06-06,77
2014-06-07,85
2014-06-08,87
2014-06-09,77
2014-06-10,77
2014-06-11,58
2014-06-12,70
2014-06-13,73
2014-06-14,83
2014-06-15,99
2014-06-16,56
2014-06-17,61
2014-06-18,59
2014-06-19,65
2014-06-20,88
2014-06-21,84
2014-06-22,86
2014-06-23,73
2014-06-24,83
2014-06-25,80
2014-06-26,89
2014-06-27,79
2014-06-28,85
2014-06-29,90
2014-06-30,76


Top regions for heroes of storm
Region,heroes of storm
Germany,100
United States,99





Top searches for heroes of storm
blizzard,100
moba,55
hots,40
heroes of newerth,30






