Web Search interest: heroes of storm
Worldwide Mar-Apr 2015

Interest over time
Day,heroes of storm
2015-03-01,51
2015-03-02,41
2015-03-03,42
2015-03-04,39
2015-03-05,39
2015-03-06,51
2015-03-07,65
2015-03-08,63
2015-03-09,53
2015-03-10,53
2015-03-11,42
2015-03-12,40
2015-03-13,42
2015-03-14,60
2015-03-15,56
2015-03-16,50
2015-03-17,50
2015-03-18,42
2015-03-19,43
2015-03-20,46
2015-03-21,69
2015-03-22,68
2015-03-23,63
2015-03-24,85
2015-03-25,97
2015-03-26,77
2015-03-27,70
2015-03-28,96
2015-03-29,100
2015-03-30,85
2015-03-31,79
2015-04-01,76
2015-04-02,71
2015-04-03,83
2015-04-04,85
2015-04-05,81
2015-04-06,77
2015-04-07,82
2015-04-08,84
2015-04-09,82
2015-04-10,87
2015-04-11,85
2015-04-12,82
2015-04-13,64
2015-04-14,54
2015-04-15,48
2015-04-16,45
2015-04-17,50
2015-04-18,63
2015-04-19,58
2015-04-20,60
2015-04-21,63
2015-04-22,50
2015-04-23,46
2015-04-24,52
2015-04-25,64
2015-04-26,67
2015-04-27,70
2015-04-28,56
2015-04-29,49
2015-04-30,47


Top regions for heroes of storm
Region,heroes of storm
Hungary,100
Chile,90
Sweden,87
Poland,70
Romania,62
Russia,56
Germany,55
France,55
Spain,51
Canada,48
Ukraine,38
Netherlands,37
Argentina,36
United States,27
Brazil,25
Australia,25
United Kingdom,22
Italy,19
Turkey,14


Top cities for heroes of storm
Town/City,heroes of storm
Budapest (Hungary),100
Cracow (Poland),94
Santiago (Chile),86
Bucharest (Romania),66
Saint Petersburg (Russia),65
Stockholm (Sweden),63
Berlin (Germany),60
Moscow (Russia),59
Warsaw (Poland),52
Vienna (Austria),51
Barcelona (Spain),50
Madrid (Spain),46
Toronto (Canada),44
Paris (France),44
Buenos Aires (Argentina),34



Top searches for heroes of storm
hots,100
hots heroes,95
hero of storm,65
blizzard,50
tier list,45
sylvanas,45
heros,30
battlenet,30
heros of storm,30
valla,25
illidan,25
starcraft,20
battle net,20
overwatch,15
battle.net,15
zeratul,15
moba,15
raynor,10
arthas,10
valla build,10
tyrande,10
hos,10
kerrigan,10
starcraft 2,10
thrall,10
build diablo,10
the lost vikings,10
abathur,10
muradin,10
nova build,10
murky,10
illidan build,10
rehgar,10
tychus,5
tassadar,5
heroes fire,5
heroes nexus,5
zagara,5



Rising searches for heroes of storm
sylvanas,+200%
nova build,+90%
muradin,+50%
build diablo,+40%
tier list,+40%



