Web Search interest: heroes of storm
Worldwide Sep-Oct 2015

Interest over time
Day,heroes of storm
2015-09-01,85
2015-09-02,79
2015-09-03,80
2015-09-04,85
2015-09-05,96
2015-09-06,100
2015-09-07,86
2015-09-08,99
2015-09-09,100
2015-09-10,77
2015-09-11,77
2015-09-12,88
2015-09-13,89
2015-09-14,76
2015-09-15,68
2015-09-16,71
2015-09-17,68
2015-09-18,69
2015-09-19,94
2015-09-20,100
2015-09-21,86
2015-09-22,87
2015-09-23,74
2015-09-24,75
2015-09-25,71
2015-09-26,97
2015-09-27,92
2015-09-28,83
2015-09-29,87
2015-09-30,76
2015-10-01,68
2015-10-02,72
2015-10-03,92
2015-10-04,80
2015-10-05,72
2015-10-06,77
2015-10-07,80
2015-10-08,70
2015-10-09,65
2015-10-10,75
2015-10-11,76
2015-10-12,71
2015-10-13,62
2015-10-14,63
2015-10-15,63
2015-10-16,60
2015-10-17,68
2015-10-18,69
2015-10-19,61
2015-10-20,71
2015-10-21,70
2015-10-22,63
2015-10-23,63
2015-10-24,62
2015-10-25,67
2015-10-26,64
2015-10-27,68
2015-10-28,70
2015-10-29,75
2015-10-30,67
2015-10-31,71


Top regions for heroes of storm
Region,heroes of storm
Canada,100
Germany,78
Spain,72
Poland,70
Russia,68
France,67
United States,63
Brazil,39
United Kingdom,38
Italy,37


Top cities for heroes of storm
Town/City,heroes of storm
Moscow (Russia),100
Toronto (Canada),100
Singapore (Singapore),98
Vienna (Austria),87
Santiago (Chile),81
Berlin (Germany),77
Paris (France),63
Madrid (Spain),60
New York (United States),51
Istanbul (Turkey),37
Bangkok (Thailand),31
London (United Kingdom),30



Top searches for heroes of storm
hots,100
artanis,70
rexxar,40
blizzard,35
blizzcon,20
battlenet,15
moba,10
hotslogs,10
battle net,10
kharazim,10



Rising searches for heroes of storm
artanis,+800%
rexxar,+300%
blizzcon,+250%



