Web Search interest: heroes of storm
Worldwide Mar-Apr 2015

Interest over time
Day,heroes of storm
2015-03-01,54
2015-03-02,43
2015-03-03,43
2015-03-04,39
2015-03-05,39
2015-03-06,53
2015-03-07,66
2015-03-08,66
2015-03-09,55
2015-03-10,53
2015-03-11,43
2015-03-12,44
2015-03-13,44
2015-03-14,58
2015-03-15,63
2015-03-16,54
2015-03-17,49
2015-03-18,45
2015-03-19,45
2015-03-20,48
2015-03-21,68
2015-03-22,70
2015-03-23,64
2015-03-24,89
2015-03-25,100
2015-03-26,80
2015-03-27,68
2015-03-28,98
2015-03-29,100
2015-03-30,86
2015-03-31,77
2015-04-01,70
2015-04-02,72
2015-04-03,82
2015-04-04,85
2015-04-05,81
2015-04-06,80
2015-04-07,80
2015-04-08,84
2015-04-09,83
2015-04-10,88
2015-04-11,87
2015-04-12,82
2015-04-13,69
2015-04-14,54
2015-04-15,48
2015-04-16,48
2015-04-17,53
2015-04-18,62
2015-04-19,58
2015-04-20,58
2015-04-21,63
2015-04-22,48
2015-04-23,47
2015-04-24,50
2015-04-25,64
2015-04-26,67
2015-04-27,69
2015-04-28,58
2015-04-29,49
2015-04-30,47


Top regions for heroes of storm
Region,heroes of storm
Hungary,100
Sweden,94
Chile,93
Poland,68
Romania,64
France,55
Russia,55
Spain,54
Germany,53
Canada,49
Netherlands,36
Argentina,35
Brazil,27
United States,27
Australia,25
Italy,21
United Kingdom,21
Turkey,14


Top cities for heroes of storm
City,heroes of storm
Budapest (Hungary),100
Santiago (Chile),85
Stockholm (Sweden),64
Saint Petersburg (Russia),59
Bucharest (Romania),57
Moscow (Russia),55
Vienna (Austria),55
Berlin (Germany),50
Warsaw (Poland),49
Barcelona (Spain),48
Toronto (Canada),45
Madrid (Spain),43
Paris (France),42
Singapore (Singapore),34
Buenos Aires (Argentina),33



Top searches for heroes of storm
hots,100
blizzard,45
tier list,45
sylvanas,40
heros,35
heros of storm,35
battlenet,30
valla,20
heroes online,20
illidan,20
battle net,20
starcraft,20
battle.net,15
overwatch,15
zeratul,15
raynor,15
moba,15
tyrael,15
arthas,15
lost vikings,10
the lost vikings,10
kerrigan,10
abathur,10
tyrande,10
valla build,10
starcraft 2,10
illidan build,10
diablo build,10
murky,10
muradin,10
tassadar,10
heroes fire,10
tychus,5
zagara,5
raynor build,5
heroes nexus,5



Rising searches for heroes of storm
sylvanas,+250%
tier list,+40%
valla,+40%
zeratul,+40%



