Web Search interest: heroes of storm
Worldwide May-Jun 2014

Interest over time
Day,heroes of storm
2014-05-01,82
2014-05-02,83
2014-05-03,86
2014-05-04,76
2014-05-05,64
2014-05-06,76
2014-05-07,66
2014-05-08,84
2014-05-09,82
2014-05-10,88
2014-05-11,84
2014-05-12,63
2014-05-13,66
2014-05-14,54
2014-05-15,62
2014-05-16,65
2014-05-17,78
2014-05-18,77
2014-05-19,61
2014-05-20,67
2014-05-21,55
2014-05-22,73
2014-05-23,88
2014-05-24,100
2014-05-25,91
2014-05-26,77
2014-05-27,72
2014-05-28,72
2014-05-29,76
2014-05-30,88
2014-05-31,89
2014-06-01,81
2014-06-02,69
2014-06-03,73
2014-06-04,83
2014-06-05,73
2014-06-06,80
2014-06-07,85
2014-06-08,87
2014-06-09,76
2014-06-10,77
2014-06-11,68
2014-06-12,76
2014-06-13,71
2014-06-14,82
2014-06-15,96
2014-06-16,60
2014-06-17,60
2014-06-18,60
2014-06-19,69
2014-06-20,81
2014-06-21,87
2014-06-22,98
2014-06-23,72
2014-06-24,70
2014-06-25,83
2014-06-26,86
2014-06-27,75
2014-06-28,78
2014-06-29,78
2014-06-30,70


Top regions for heroes of storm
Region,heroes of storm
Germany,100
United States,90





Top searches for heroes of storm
blizzard,100
heroes online,65
moba,50
hots,35
heroes of newerth,30



Rising searches for heroes of storm
heroes online,+40%



