Web Search interest: heroes of storm
Worldwide Jul-Aug 2015

Interest over time
Day,heroes of storm
2015-07-01,100
2015-07-02,79
2015-07-03,78
2015-07-04,82
2015-07-05,85
2015-07-06,75
2015-07-07,73
2015-07-08,68
2015-07-09,68
2015-07-10,65
2015-07-11,68
2015-07-12,72
2015-07-13,65
2015-07-14,66
2015-07-15,62
2015-07-16,63
2015-07-17,60
2015-07-18,70
2015-07-19,75
2015-07-20,67
2015-07-21,80
2015-07-22,67
2015-07-23,60
2015-07-24,58
2015-07-25,61
2015-07-26,68
2015-07-27,57
2015-07-28,58
2015-07-29,53
2015-07-30,49
2015-07-31,52
2015-08-01,59
2015-08-02,61
2015-08-03,52
2015-08-04,53
2015-08-05,62
2015-08-06,60
2015-08-07,63
2015-08-08,73
2015-08-09,77
2015-08-10,63
2015-08-11,73
2015-08-12,62
2015-08-13,58
2015-08-14,54
2015-08-15,60
2015-08-16,62
2015-08-17,57
2015-08-18,68
2015-08-19,76
2015-08-20,61
2015-08-21,60
2015-08-22,68
2015-08-23,76
2015-08-24,58
2015-08-25,62
2015-08-26,53
2015-08-27,58
2015-08-28,50
2015-08-29,61
2015-08-30,59
2015-08-31,50


Top regions for heroes of storm
Region,heroes of storm
Sweden,100
Canada,75
Poland,65
Germany,59
Russia,55
Spain,53
France,51
Netherlands,48
United States,47
Australia,45
Brazil,28
United Kingdom,26
Italy,25
Turkey,23


Top cities for heroes of storm
City,heroes of storm
Singapore (Singapore),100
Toronto (Canada),84
Moscow (Russia),77
Santiago (Chile),70
Warsaw (Poland),66
Berlin (Germany),64
Los Angeles (United States),59
Melbourne (Australia),57
Sydney (Australia),54
Quezon City (Philippines),51
Paris (France),49
Madrid (Spain),46
New York (United States),44
Chicago (United States),37
Buenos Aires (Argentina),36



Top searches for heroes of storm
hots,100
leoric,45
heros,35
blizzard,35
heroes wiki,30
starcraft,25
sylvanas,20
illidan,20
zeratul,15
battlenet,15
abathur,15
valla build,15
overwatch,15
tyrael,15
moba,15
arthas,10
mmr,10
starcraft 2,10
tyrande,10
rexxar,10
battle.net,10
kharazim,10
artanis,10
battle net,10
heroes reborn,10
heroes fire,10
hotslogs,10
murky,10
zagara,10
rehgar,10
nova build,10
heroes nexus,5
muradin build,5
illidan build,5



Rising searches for heroes of storm
artanis,Breakout
kharazim,Breakout
rexxar,Breakout
leoric,+550%
heroes reborn,+160%
mmr,+70%
arthas,+40%
overwatch,+40%
starcraft 2,+40%



