Web Search interest: heroes of storm
Worldwide Sep-Oct 2015

Interest over time
Day,heroes of storm
2015-09-01,86
2015-09-02,79
2015-09-03,80
2015-09-04,80
2015-09-05,97
2015-09-06,98
2015-09-07,89
2015-09-08,100
2015-09-09,92
2015-09-10,77
2015-09-11,78
2015-09-12,89
2015-09-13,89
2015-09-14,82
2015-09-15,70
2015-09-16,73
2015-09-17,68
2015-09-18,67
2015-09-19,90
2015-09-20,100
2015-09-21,81
2015-09-22,82
2015-09-23,71
2015-09-24,74
2015-09-25,72
2015-09-26,91
2015-09-27,92
2015-09-28,77
2015-09-29,81
2015-09-30,66
2015-10-01,65
2015-10-02,74
2015-10-03,83
2015-10-04,85
2015-10-05,68
2015-10-06,76
2015-10-07,77
2015-10-08,69
2015-10-09,75
2015-10-10,78
2015-10-11,70
2015-10-12,68
2015-10-13,65
2015-10-14,62
2015-10-15,62
2015-10-16,57
2015-10-17,68
2015-10-18,66
2015-10-19,61
2015-10-20,68
2015-10-21,67
2015-10-22,62
2015-10-23,60
2015-10-24,65
2015-10-25,68
2015-10-26,58
2015-10-27,69
2015-10-28,72
2015-10-29,73
2015-10-30,61
2015-10-31,68


Top regions for heroes of storm
Region,heroes of storm
Canada,100
Germany,79
Poland,75
Spain,74
Russia,67
France,64
United States,63
Brazil,39
United Kingdom,37


Top cities for heroes of storm
City,heroes of storm
Singapore (Singapore),100
Toronto (Canada),99
Moscow (Russia),91
Berlin (Germany),83
Santiago (Chile),74
Los Angeles (United States),73
Melbourne (Australia),62
Paris (France),61
Madrid (Spain),58
Sydney (Australia),55
New York (United States),45
Buenos Aires (Argentina),39
Bangkok (Thailand),33
Istanbul (Turkey),32
London (United Kingdom),31



Top searches for heroes of storm
hots,100
artanis,60
rexxar,40
blizzard,35
blizzcon,15
battlenet,15
zeratul,15
moba,10
kharazim,10
battle.net,10
battle net,10
hotslogs,10
jaina build,5



Rising searches for heroes of storm
artanis,+600%
blizzcon,+300%
rexxar,+250%



