Web Search interest: heroes of storm
Worldwide Jul-Aug 2015

Interest over time
Day,heroes of storm
2015-07-01,100
2015-07-02,81
2015-07-03,79
2015-07-04,83
2015-07-05,86
2015-07-06,77
2015-07-07,73
2015-07-08,70
2015-07-09,65
2015-07-10,63
2015-07-11,69
2015-07-12,73
2015-07-13,68
2015-07-14,70
2015-07-15,63
2015-07-16,66
2015-07-17,62
2015-07-18,68
2015-07-19,76
2015-07-20,63
2015-07-21,76
2015-07-22,67
2015-07-23,56
2015-07-24,57
2015-07-25,69
2015-07-26,66
2015-07-27,59
2015-07-28,59
2015-07-29,56
2015-07-30,52
2015-07-31,52
2015-08-01,57
2015-08-02,61
2015-08-03,54
2015-08-04,54
2015-08-05,64
2015-08-06,58
2015-08-07,64
2015-08-08,74
2015-08-09,75
2015-08-10,64
2015-08-11,71
2015-08-12,62
2015-08-13,58
2015-08-14,55
2015-08-15,60
2015-08-16,63
2015-08-17,59
2015-08-18,70
2015-08-19,76
2015-08-20,60
2015-08-21,62
2015-08-22,66
2015-08-23,72
2015-08-24,57
2015-08-25,59
2015-08-26,55
2015-08-27,58
2015-08-28,51
2015-08-29,61
2015-08-30,59
2015-08-31,52


Top regions for heroes of storm
Region,heroes of storm
Sweden,100
Canada,72
Poland,65
Germany,60
Russia,55
Spain,52
Netherlands,49
France,49
United States,48
Australia,44
Brazil,30
United Kingdom,26
Italy,23
Turkey,21


Top cities for heroes of storm
Town/City,heroes of storm
Singapore (Singapore),100
Stockholm (Sweden),88
Moscow (Russia),85
Toronto (Canada),84
Santiago (Chile),66
Berlin (Germany),66
Warsaw (Poland),64
Sydney (Australia),59
Melbourne (Australia),59
Los Angeles (United States),57
Madrid (Spain),49
Paris (France),47
New York (United States),43
Buenos Aires (Argentina),38
Istanbul (Turkey),31



Top searches for heroes of storm
hots,100
leoric,50
blizzard,35
heros,35
heroes wiki,30
starcraft,25
valla,25
sylvanas,20
illidan,20
zeratul,20
battlenet,15
overwatch,15
abathur,15
tyrael,15
moba,15
arthas,15
rexxar,15
starcraft 2,10
valla build,10
tyrande,10
battle.net,10
hotslogs,10
kharazim,10
heroes reborn,10
heroes nexus,10
heroes fire,10
artanis,10
battle net,10
rehgar,10
zagara,10
the lost vikings,5
illidan build,5
jaina build,5



Rising searches for heroes of storm
artanis,Breakout
kharazim,Breakout
rexxar,Breakout
leoric,+650%
heroes reborn,+170%
johanna build,+130%
hotslogs,+90%
overwatch,+40%
starcraft,+40%



