Web Search interest: heroes of storm
Worldwide Sep-Oct 2014

Interest over time
Day,heroes of storm
2014-09-01,44
2014-09-02,40
2014-09-03,44
2014-09-04,48
2014-09-05,44
2014-09-06,53
2014-09-07,50
2014-09-08,44
2014-09-09,38
2014-09-10,45
2014-09-11,44
2014-09-12,49
2014-09-13,53
2014-09-14,59
2014-09-15,43
2014-09-16,38
2014-09-17,35
2014-09-18,31
2014-09-19,35
2014-09-20,46
2014-09-21,44
2014-09-22,36
2014-09-23,44
2014-09-24,45
2014-09-25,38
2014-09-26,31
2014-09-27,35
2014-09-28,39
2014-09-29,32
2014-09-30,30
2014-10-01,32
2014-10-02,30
2014-10-03,39
2014-10-04,42
2014-10-05,40
2014-10-06,33
2014-10-07,46
2014-10-08,59
2014-10-09,61
2014-10-10,69
2014-10-11,64
2014-10-12,67
2014-10-13,51
2014-10-14,53
2014-10-15,74
2014-10-16,74
2014-10-17,79
2014-10-18,88
2014-10-19,88
2014-10-20,62
2014-10-21,65
2014-10-22,77
2014-10-23,94
2014-10-24,84
2014-10-25,96
2014-10-26,99
2014-10-27,77
2014-10-28,75
2014-10-29,96
2014-10-30,100
2014-10-31,90


Top regions for heroes of storm
Region,heroes of storm
Russia,100
France,82
Germany,80
Spain,74
United States,33
Brazil,30


Top cities for heroes of storm
City,heroes of storm
Moscow (Russia),100
Paris (France),50



Top searches for heroes of storm
blizzard,100
hots,70
moba,35






