Web Search interest: heroes of storm
Worldwide Nov-Dec 2014

Interest over time
Day,heroes of storm
2014-11-01,56
2014-11-02,52
2014-11-03,37
2014-11-04,39
2014-11-05,48
2014-11-06,48
2014-11-07,60
2014-11-08,100
2014-11-09,87
2014-11-10,63
2014-11-11,54
2014-11-12,46
2014-11-13,39
2014-11-14,42
2014-11-15,49
2014-11-16,40
2014-11-17,32
2014-11-18,33
2014-11-19,31
2014-11-20,26
2014-11-21,24
2014-11-22,30
2014-11-23,30
2014-11-24,20
2014-11-25,25
2014-11-26,27
2014-11-27,31
2014-11-28,27
2014-11-29,29
2014-11-30,31
2014-12-01,27
2014-12-02,37
2014-12-03,40
2014-12-04,36
2014-12-05,36
2014-12-06,43
2014-12-07,42
2014-12-08,36
2014-12-09,32
2014-12-10,27
2014-12-11,25
2014-12-12,26
2014-12-13,29
2014-12-14,30
2014-12-15,25
2014-12-16,25
2014-12-17,26
2014-12-18,36
2014-12-19,38
2014-12-20,40
2014-12-21,41
2014-12-22,33
2014-12-23,42
2014-12-24,44
2014-12-25,48
2014-12-26,42
2014-12-27,40
2014-12-28,46
2014-12-29,37
2014-12-30,37
2014-12-31,33


Top regions for heroes of storm
Region,heroes of storm
Russia,100
Canada,88
Poland,85
Germany,78
France,74
Spain,68
United States,41
Brazil,39
United Kingdom,30


Top cities for heroes of storm
City,heroes of storm
Moscow (Russia),100
Toronto (Canada),78
Santiago (Chile),67
Paris (France),55
London (United Kingdom),19



Top searches for heroes of storm
blizzard,100
hots,90
overwatch,55
blizzcon,40
battle net,25
moba,25



Rising searches for heroes of storm
blizzard overwatch,Breakout
overwatch,Breakout
blizzcon,+300%



