Web Search interest: heroes of storm
Worldwide Jul-Aug 2014

Interest over time
Day,heroes of storm
2014-07-01,63
2014-07-02,100
2014-07-03,85
2014-07-04,74
2014-07-05,93
2014-07-06,83
2014-07-07,56
2014-07-08,54
2014-07-09,52
2014-07-10,80
2014-07-11,77
2014-07-12,82
2014-07-13,73
2014-07-14,64
2014-07-15,56
2014-07-16,64
2014-07-17,77
2014-07-18,68
2014-07-19,71
2014-07-20,76
2014-07-21,67
2014-07-22,82
2014-07-23,78
2014-07-24,79
2014-07-25,86
2014-07-26,85
2014-07-27,75
2014-07-28,71
2014-07-29,62
2014-07-30,55
2014-07-31,54
2014-08-01,54
2014-08-02,63
2014-08-03,66
2014-08-04,57
2014-08-05,55
2014-08-06,52
2014-08-07,58
2014-08-08,50
2014-08-09,59
2014-08-10,70
2014-08-11,51
2014-08-12,48
2014-08-13,60
2014-08-14,74
2014-08-15,83
2014-08-16,82
2014-08-17,75
2014-08-18,62
2014-08-19,63
2014-08-20,56
2014-08-21,55
2014-08-22,65
2014-08-23,68
2014-08-24,87
2014-08-25,60
2014-08-26,57
2014-08-27,59
2014-08-28,49
2014-08-29,52
2014-08-30,59
2014-08-31,62


Top regions for heroes of storm
Region,heroes of storm
Russia,100
Spain,93
Canada,79
France,68
Germany,61
United States,40
Brazil,34


Top cities for heroes of storm
Town/City,heroes of storm
Singapore (Singapore),100
Sydney (Australia),42



Top searches for heroes of storm
blizzard,100
hots,55
heroes online,50
moba,40



Rising searches for heroes of storm
hots,+60%



