Web Search interest: blizzard overwatch
Worldwide Mar-Apr 2015

Interest over time
Week,blizzard overwatch
2015-03-01 - 2015-03-07,100
2015-03-08 - 2015-03-14,84
2015-03-15 - 2015-03-21,56
2015-03-22 - 2015-03-28,43
2015-03-29 - 2015-04-04,49
2015-04-05 - 2015-04-11,48
2015-04-12 - 2015-04-18,43
2015-04-19 - 2015-04-25,38
2015-04-26 - 2015-05-02,40









