Web Search interest: blizzard overwatch
Worldwide May-Jun 2015

Interest over time
Week,blizzard overwatch
2015-05-03 - 2015-05-09,74
2015-05-10 - 2015-05-16,83
2015-05-17 - 2015-05-23,89
2015-05-24 - 2015-05-30,85
2015-05-31 - 2015-06-06,93
2015-06-07 - 2015-06-13,100
2015-06-14 - 2015-06-20,78
2015-06-21 - 2015-06-27,72
2015-06-28 - 2015-07-04,90









