Web Search interest: blizzard overwatch
Worldwide Sep-Oct 2015

Interest over time
Week,blizzard overwatch
2015-09-06 - 2015-09-12,12
2015-09-13 - 2015-09-19,12
2015-09-20 - 2015-09-26,15
2015-09-27 - 2015-10-03,12
2015-10-04 - 2015-10-10,14
2015-10-11 - 2015-10-17,28
2015-10-18 - 2015-10-24,17
2015-10-25 - 2015-10-31,100



Top searches for blizzard overwatch
blizzard overwatch beta,100
overwatch beta,95



Rising searches for blizzard overwatch
blizzard overwatch beta,+50%
overwatch beta,+40%



