Web Search interest: smite youtube
Worldwide Nov-Dec 2014

Interest over time
Day,smite youtube
2014-11-01,0
2014-11-02,63
2014-11-03,61
2014-11-04,61
2014-11-05,66
2014-11-06,0
2014-11-07,0
2014-11-08,0
2014-11-09,0
2014-11-10,0
2014-11-11,0
2014-11-12,0
2014-11-13,54
2014-11-14,60
2014-11-15,67
2014-11-16,75
2014-11-17,71
2014-11-18,71
2014-11-19,71
2014-11-20,0
2014-11-21,0
2014-11-22,0
2014-11-23,0
2014-11-24,0
2014-11-25,0
2014-11-26,0
2014-11-27,0
2014-11-28,55
2014-11-29,72
2014-11-30,0
2014-12-01,0
2014-12-02,0
2014-12-03,0
2014-12-04,0
2014-12-05,0
2014-12-06,77
2014-12-07,57
2014-12-08,57
2014-12-09,57
2014-12-10,57
2014-12-11,71
2014-12-12,86
2014-12-13,100
2014-12-14,52
2014-12-15,52
2014-12-16,0
2014-12-17,0
2014-12-18,0
2014-12-19,0
2014-12-20,0
2014-12-21,0
2014-12-22,74
2014-12-23,64
2014-12-24,65
2014-12-25,66
2014-12-26,67
2014-12-27,68
2014-12-28,69
2014-12-29,67
2014-12-30,67
2014-12-31,0









